key_development_areas,text,business_area_id,scenario,related_skill,question_id,key_dev_areas_str
"['Customer Experience Management', 'Communication Skills']",How confident are you in making actionable recommendations based on your analysis to improve service delivery?,5XJc8NmM7JP4byHGNGQ9,Your analysis indicates a need for a new customer feedback mechanism.,service_improvement,xulHjrrFJkHtC9Sf9tkz,Customer Experience Management Communication Skills
"['Empathy and Emotional Intelligence', 'Problem-Solving and Resolution']","How would you rate your ability to handle this challenging situation with patience and calmness, understand the customer's perspective, and work towards a satisfactory resolution?",5XJc8NmM7JP4byHGNGQ9,"A customer contacts you, upset about an unexpected charge on their bill. They are frustrated and demand an immediate explanation and resolution.",dealing_with_customer_conflict,ydIGluJmvzSaAYwKqbS0,Empathy and Emotional Intelligence Problem-Solving and Resolution
"['Technology Skills', 'Adaptability and Flexibility']",How would you rate your ability to advocate for the adoption of new technologies that could improve customer service?,5XJc8NmM7JP4byHGNGQ9,"A new technology could streamline customer service interactions, but it requires buy-in from your team.",business_focused_service_delivery,zoFeCuki9w0msLEfPOVZ,Technology Skills Adaptability and Flexibility
"['Construction Methods and Technology', 'Technical Skills and Construction Knowledge']",How confident are you in installing structural fixings to ensure stability and safety?,DVhvy8x4RkF1e33R0LCW,You need to install structural fixings for a load-bearing wall.,Install structural fixings,0HiFCIZ0fZbAyzBxyOdH,Construction Methods and Technology Technical Skills and Construction Knowledge
"['Technical Skills Development', 'Quality Control']",How confident are you in applying second fix techniques to install double side hung doors with precision?,DVhvy8x4RkF1e33R0LCW,You need to install double side hung doors with intricate ironmongery.,install_double_side_hung_doors_with_associated_ironmongery_and_lining,0RJM4RKX0ppd1mgXMEDL,Technical Skills Development Quality Control
"['Technical Skills Development', 'Safety and Compliance', 'Problem-Solving and Decision-Making']","How would you rate your ability to assess the extent of masonry damage, select the appropriate materials for repair, and execute the masonry work to maintain the structural integrity and appearance of the building?",DVhvy8x4RkF1e33R0LCW,A residential building has minor cracks in its brickwork that need to be repaired to prevent water ingress and further damage. The repair needs to be both effective and aesthetically consistent with the building's appearance.,performing_repairs_to_buildings,0d3J1fAK1tHCTQXaEZcj,Technical Skills Development Safety and Compliance Problem-Solving and Decision-Making
"['Project Management', 'Safety and Compliance', 'Technical Skills Development']","How confidently can you sequence the work, ensuring that electrical and plumbing tasks are prioritised to allow for subsequent cosmetic updates without rework or conflicts between different maintenance teams?",DVhvy8x4RkF1e33R0LCW,"You are tasked with overseeing a large-scale maintenance project that includes electrical updates, plumbing repairs, and cosmetic refurbishments across multiple floors of an office building.",plan_sequence_of_work,0qZPvJTfyoxjDLrxhNUj,Project Management Safety and Compliance Technical Skills Development
"['Tool Maintenance and Safety', 'Technical Skills and Construction Knowledge']",How confident are you in selecting and safely using the appropriate power tools for your tasks?,DVhvy8x4RkF1e33R0LCW,You need to use a power saw for a large cutting job.,select_and_store_power_tools,139dzwXUz6FLJSIDnEbW,Tool Maintenance and Safety Technical Skills and Construction Knowledge
"['Time Management', 'Process Efficiency', 'Team Leadership and Collaboration']",How do you balance these competing priorities to ensure both immediate tasks and long-term objectives are met effectively?,DVhvy8x4RkF1e33R0LCW,"In your current role, you are responsible for managing both long-term project goals and immediate, day-to-day operational tasks.",personal_organisation,1CkTxvwSkJn88vz6WDOq,Time Management Process Efficiency Team Leadership and Collaboration
"['Environmental and Sustainability Practices', 'Quality Control and Assurance']","How would you rate your ability to segregate resources for reuse, recycling, and disposal according to regulations?",DVhvy8x4RkF1e33R0LCW,You need to manage the disposal of waste materials from a construction site.,comply_with_environmental_and_sustainability_regulations,1wcqf39ZN6rro7DaOFLh,Environmental and Sustainability Practices Quality Control and Assurance
"['Technical Skills and Construction Knowledge', 'Quality Control and Assurance']",How confident are you in applying second fix techniques to install skirting boards and architrave?,DVhvy8x4RkF1e33R0LCW,You are installing skirting boards and architrave in a newly constructed home.,apply_site_second_fix_techniques_and_practices,23H6qKHxVZgEFahSvmwK,Technical Skills and Construction Knowledge Quality Control and Assurance
"['Technical Skills Development', 'Adaptability and Innovation']",How would you rate your ability to install non-standard mouldings accurately as part of second fix carpentry?,DVhvy8x4RkF1e33R0LCW,A custom project requires non-standard mouldings for door linings.,install_double_side_hung_doors_with_associated_ironmongery_and_lining,2Z7FCDrAHADCoHLnYEFd,Technical Skills Development Adaptability and Innovation
"['Technical Skills Development', 'Quality Control']",How would you rate your ability to set up and use fixed machinery to achieve complex architectural joinery tasks?,DVhvy8x4RkF1e33R0LCW,A project requires complex shapes and precise cuts using fixed machinery.,apply_craft_architectural_techniques,2aIfFBCy3Do18cQiJBeE,Technical Skills Development Quality Control
"['Sustainability and Eco-Friendly Practices', 'Problem-Solving and Decision-Making', 'Adaptability and Innovation']","Assess your ability to implement and manage a waste segregation system on site, ensuring materials are appropriately categorised for reuse, recycling, or disposal in compliance with environmental regulations.",DVhvy8x4RkF1e33R0LCW,"You are overseeing a construction project that generates various types of waste, including scrap materials, packaging, and old fixtures. It's crucial to manage this waste in an environmentally responsible manner.",comply_with_environmental_regulations,2sQpPmF2d7YzRmg6yGyF,Sustainability and Eco-Friendly Practices Problem-Solving and Decision-Making Adaptability and Innovation
"['Technical Skills and Construction Knowledge', 'Quality Control and Assurance']",How would you rate your ability to manufacture and assemble door frames and linings to a high standard?,DVhvy8x4RkF1e33R0LCW,A project requires the production of door frames and linings.,manufacture_and_assembly_techniques_for_first_fix_products,4RiVE8Cf19XElON4OJzA,Technical Skills and Construction Knowledge Quality Control and Assurance
"['Construction Methods and Technology', 'Quality Control and Assurance']",How would you rate your ability to apply first fix techniques to build straight timber partition walls?,DVhvy8x4RkF1e33R0LCW,A project requires the construction of straight timber partition walls.,apply_first_fix_techniques_and_practices,4kjrUr4GkcarofTcFyJU,Construction Methods and Technology Quality Control and Assurance
"['Technical Skills Development', 'Safety and Compliance', 'Problem-Solving and Decision-Making']","How confident are you in planning the carpet layout, preparing the underlying surface, and cutting the carpet accurately to fit around the office furniture, ensuring a professional and tidy finish?",DVhvy8x4RkF1e33R0LCW,"An office requires part of its carpeted floor to be replaced due to wear and tear. The project involves cutting and fitting carpet around desks, office chairs, and other equipment without moving them.",performing_flooring_repairs,4mlQZyZ1obWhdC0EM601,Technical Skills Development Safety and Compliance Problem-Solving and Decision-Making
"['Tool Maintenance and Safety', 'Quality Control and Assurance']",How would you rate your ability to store power tools correctly after use?,DVhvy8x4RkF1e33R0LCW,Ensuring power tools are stored properly to prevent damage and accidents.,select_and_store_power_tools,51N2eZVU804sKH7rDbWu,Tool Maintenance and Safety Quality Control and Assurance
"['Technical Skills Development', 'Project Planning and Scheduling']",How confident are you in applying planning and time management techniques to develop a comprehensive production plan?,DVhvy8x4RkF1e33R0LCW,You are tasked with creating a production schedule for a large-scale joinery project.,planning_work_scheduling_and_time_management_techniques_to_identify_and_agree_production_plan_targets,5Qc8YLvWA8hCUMIKHXcF,Technical Skills Development Project Planning and Scheduling
